"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override","scenario"
"1","Aba North","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2020,-1,"Scenario 1"
"2","Aba South","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2020,-1,"Scenario 1"
"3","Abadam","Babura",NA,0.349277359,0.349277359,0.49,0,-1,2020,-1,"Scenario 1"
"4","Abaji","Keana",NA,0.246130843,0.246130843,0.49,0,-1,2020,-1,"Scenario 1"
"5","Abak","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2020,-1,"Scenario 1"
"6","Abakaliki","Owan East",NA,0.352748878,0.352748878,0.49,0,-1,2020,-1,"Scenario 1"
"7","Abeokuta North","Owan East",NA,0.516473785,0.516473785,0.49,0,-1,2020,-1,"Scenario 1"
"8","Abeokuta South","Uzo-Uwani",NA,0.793442604,0.793442604,0.49,0,-1,2020,-1,"Scenario 1"
"9","Abi","Obubra",NA,0.145161293,0.145161293,0.49,0,-1,2020,-1,"Scenario 1"
"10","Aboh-Mbaise","Ngor-Okpala",NA,0.375,0.375,0.49,0,-1,2020,-1,"Scenario 1"
"11","Abua-Odual","Ahoada West",NA,0.104505917,0.104505917,0.49,0,-1,2020,-1,"Scenario 1"
"12","Abuja Municipal","Keana",NA,0.048123756,0.048123756,0.49,0,-1,2020,-1,"Scenario 1"
"13","Adavi","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"14","Ado","Akinyele",NA,0.171296311,0.171296311,0.49,0,-1,2020,-1,"Scenario 1"
"15","Ado Ekiti","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"16","Ado-Odo-Ota","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"17","Afijio","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"18","Afikpo North","Oru West",NA,0.863945585,0.863945585,0.49,0,-1,2020,-1,"Scenario 1"
"19","Afikpo South","Ngor-Okpala",NA,0.470951796,0.470951796,0.49,0,-1,2020,-1,"Scenario 1"
"20","Agaie","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"21","Agatu","Keana",NA,0.177187213,0.177187213,0.49,0,-1,2020,-1,"Scenario 1"
"22","Agege","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"23","Aguata","Oru West",NA,0.435107986,0.435107986,0.49,0,-1,2020,-1,"Scenario 1"
"24","Agwara","Birnin Kebbi",NA,0.42225568,0.42225568,0.49,0,-1,2020,-1,"Scenario 1"
"25","Ahiazu-Mbaise","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2020,-1,"Scenario 1"
"26","Ahoada East","Ahoada West",NA,0.300663225,0.300663225,0.49,0,-1,2020,-1,"Scenario 1"
"27","Ahoada West","Ahoada West",NA,0.333333333,0.333333333,0.49,0,-1,2020,-1,"Scenario 1"
"28","Aiyedade","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"29","Aiyedire","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"30","Ajaokuta","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"31","Ajeromi-Ifelodun","Uzo-Uwani",NA,0.697452222,0.697452222,0.49,0,-1,2020,-1,"Scenario 1"
"32","Ajingi","Taura",NA,0.174928041,0.174928041,0.49,0,-1,2020,-1,"Scenario 1"
"33","Akamkpa","Ngor-Okpala",NA,0.191387598,0.191387598,0.49,0,-1,2020,-1,"Scenario 1"
"34","Akinyele","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
